name,opponent_team_name,is_home,season,gameweek,team_name,position,y,y_Naive,y_LGBMRegressor_no_exog,y_LSTMWithReLU
Aaron Ramsdale,Nottingham,True,24,1,Arsenal,GK,2.0,,,
Aaron Ramsdale,Crystal Palace,False,24,2,Arsenal,GK,6.0,,,
Aaron Ramsdale,Fulham,True,24,3,Arsenal,GK,1.0,,,
Aaron Ramsdale,Manchester Utd,True,24,4,Arsenal,GK,2.0,,,
Aaron Ramsdale,Everton,False,24,5,Arsenal,GK,0.0,,,
Aaron Ramsdale,Tottenham,True,24,6,Arsenal,GK,0.0,,,
Aaron Ramsdale,Bournemouth,False,24,7,Arsenal,GK,0.0,,,
Aaron Ramsdale,Manchester City,True,24,8,Arsenal,GK,0.0,,,
Aaron Ramsdale,Chelsea,False,24,9,Arsenal,GK,0.0,,,
Aaron Ramsdale,Sheffield Utd,True,24,10,Arsenal,GK,0.0,,,
Aaron Ramsdale,Newcastle,False,24,11,Arsenal,GK,0.0,,,
Aaron Ramsdale,Burnley,True,24,12,Arsenal,GK,0.0,,,
Aaron Ramsdale,Brentford,False,24,13,Arsenal,GK,6.0,,,
Aaron Ramsdale,Wolves,True,24,14,Arsenal,GK,0.0,,,
Aaron Ramsdale,Luton,False,24,15,Arsenal,GK,0.0,,,
Aaron Ramsdale,Aston Villa,False,24,16,Arsenal,GK,0.0,,,
Aaron Ramsdale,Brighton,True,24,17,Arsenal,GK,0.0,,,
Aaron Ramsdale,Liverpool,False,24,18,Arsenal,GK,0.0,,,
Aaron Ramsdale,West Ham,True,24,19,Arsenal,GK,0.0,,,
Aaron Ramsdale,Fulham,False,24,20,Arsenal,GK,0.0,,,
Aaron Ramsdale,Crystal Palace,True,24,21,Arsenal,GK,0.0,,,
Aaron Ramsdale,Nottingham,False,24,22,Arsenal,GK,0.0,,,
Aaron Ramsdale,Liverpool,True,24,23,Arsenal,GK,0.0,,,
Aaron Ramsdale,West Ham,False,24,24,Arsenal,GK,0.0,,,
Aaron Ramsdale,Burnley,False,24,25,Arsenal,GK,0.0,,,
Aaron Ramsdale,Newcastle,True,24,26,Arsenal,GK,0.0,,,
Aaron Ramsdale,Sheffield Utd,False,24,27,Arsenal,GK,0.0,,,
Aaron Ramsdale,Brentford,True,24,28,Arsenal,GK,3.0,,,
Aaron Ramsdale,Manchester City,False,24,30,Arsenal,GK,0.0,,,
Aaron Ramsdale,Luton,True,24,31,Arsenal,GK,0.0,,,
Aaron Ramsdale,Brighton,False,24,32,Arsenal,GK,0.0,,,
Aaron Ramsdale,Aston Villa,True,24,33,Arsenal,GK,0.0,,,
Aaron Ramsdale,Wolves,False,24,34,Arsenal,GK,0.0,,,
